CountryShortName,Year,IndicatorName,Value
Bangladesh,2023.0,"Gross PSD, Total, All maturities, All instruments, Domestic currency, Nominal Value, US$",113324826277.064
Bangladesh,2021.0,"Gross PSD, Total, All maturities, All instruments, Nominal Value, US$",197052315764.87
Bangladesh,2022.0,"Gross PSD, Total, All maturities, All instruments, Nominal Value, US$",202695817472.194
Bangladesh,2023.0,"Gross PSD, Total, All maturities, All instruments, Nominal Value, US$",204162952987.413
Bangladesh,2021.0,"Gross PSD, Total, All maturities, All instruments, External creditors, Nominal Value, US$",71734109560.8033
Bangladesh,2022.0,"Gross PSD, Total, All maturities, All instruments, External creditors, Nominal Value, US$",79274673197.5931
Bangladesh,2023.0,"Gross PSD, Total, All maturities, All instruments, External creditors, Nominal Value, US$",91543865458.1633
Bangladesh,2021.0,"Gross PSD, Total, Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, US$",969906734.870971
Bangladesh,2022.0,"Gross PSD, Total, Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, US$",743682611.98526
Bangladesh,2023.0,"Gross PSD, Total, Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, US$",541491529.575431
Bangladesh,2021.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, US$",24200850649.2158
Bangladesh,2022.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, US$",23935365318.876
Bangladesh,2023.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, US$",22661904301.4373
Bangladesh,2021.0,"Gross PSD, Total, All maturities, Currency and deposits, Nominal Value, US$",64647004337.2514
Bangladesh,2022.0,"Gross PSD, Total, All maturities, Currency and deposits, Nominal Value, US$",63673241896.9481
Bangladesh,2023.0,"Gross PSD, Total, All maturities, Currency and deposits, Nominal Value, US$",58741731378.7483
Bangladesh,2021.0,"Gross PSD, Total, Long-term, With payment due in one year or less, Debt securities, Nominal Value, US$",2656908949.00669
Bangladesh,2022.0,"Gross PSD, Total, Long-term, With payment due in one year or less, Debt securities, Nominal Value, US$",4125178456.6095
Bangladesh,2023.0,"Gross PSD, Total, Long-term, With payment due in one year or less, Debt securities, Nominal Value, US$",5379145478.88487
Bangladesh,2021.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Debt securities, Nominal Value, US$",58156850929.0482
Bangladesh,2022.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Debt securities, Nominal Value, US$",55522971666.1302
Bangladesh,2023.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Debt securities, Nominal Value, US$",47771436049.6345
Bangladesh,2021.0,"Gross PSD, Total, All maturities, Debt securities, Nominal Value, US$",60990801203.6117
Bangladesh,2022.0,"Gross PSD, Total, All maturities, Debt securities, Nominal Value, US$",59649799295.648
Bangladesh,2023.0,"Gross PSD, Total, All maturities, Debt securities, Nominal Value, US$",53152098303.3128
Bangladesh,2021.0,"Gross PSD, Total, Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",5409743.35562134
Bangladesh,2022.0,"Gross PSD, Total, Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",8028632.80357889
Bangladesh,2023.0,"Gross PSD, Total, Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",7388211.02933824
Bangladesh,2021.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",394016001.378019
Bangladesh,2022.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",448784925.506671
Bangladesh,2023.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",441418610.78826
Bangladesh,2021.0,"Gross PSD, Total, All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",399425744.73364
Bangladesh,2022.0,"Gross PSD, Total, All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",456813558.31025
Bangladesh,2023.0,"Gross PSD, Total, All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",448806821.817598
Bangladesh,2021.0,"Gross PSD, Total, Long-term, With payment due in one year or less, Loans, Nominal Value, US$",734408668.334028
Bangladesh,2022.0,"Gross PSD, Total, Long-term, With payment due in one year or less, Loans, Nominal Value, US$",1053621085.01279
