Country Code,Series Code,Year,Value
BGD,DP.DOD.DLCD.CR.L1.PS.CD,2022,743682611.9852602
BGD,DP.DOD.DLCD.CR.L1.PS.CD,2023,541491529.5754313
BGD,DP.DOD.DLCD.CR.M1.PS.CD,2021,24200850649.215828
BGD,DP.DOD.DLCD.CR.M1.PS.CD,2022,23935365318.87599
BGD,DP.DOD.DLCD.CR.M1.PS.CD,2023,22661904301.43733
BGD,DP.DOD.DLCD.CR.PS.CD,2021,64647004337.25139
BGD,DP.DOD.DLCD.CR.PS.CD,2022,63673241896.94812
BGD,DP.DOD.DLCD.CR.PS.CD,2023,58741731378.74826
BGD,DP.DOD.DLDS.CR.L1.PS.CD,2021,2656908949.006686
BGD,DP.DOD.DLDS.CR.L1.PS.CD,2022,4125178456.6095033
BGD,DP.DOD.DLDS.CR.L1.PS.CD,2023,5379145478.884868
BGD,DP.DOD.DLDS.CR.M1.PS.CD,2021,58156850929.048225
BGD,DP.DOD.DLDS.CR.M1.PS.CD,2022,55522971666.130196
BGD,DP.DOD.DLDS.CR.M1.PS.CD,2023,47771436049.63454
BGD,DP.DOD.DLDS.CR.PS.CD,2021,60990801203.61173
BGD,DP.DOD.DLDS.CR.PS.CD,2022,59649799295.64804
BGD,DP.DOD.DLDS.CR.PS.CD,2023,53152098303.31275
BGD,DP.DOD.DLIN.CR.L1.PS.CD,2021,5409743.355621344
BGD,DP.DOD.DLIN.CR.L1.PS.CD,2022,8028632.803578885
BGD,DP.DOD.DLIN.CR.L1.PS.CD,2023,7388211.029338235
BGD,DP.DOD.DLIN.CR.M1.PS.CD,2021,394016001.3780187
BGD,DP.DOD.DLIN.CR.M1.PS.CD,2022,448784925.5066707
BGD,DP.DOD.DLIN.CR.M1.PS.CD,2023,441418610.7882598
BGD,DP.DOD.DLIN.CR.PS.CD,2021,399425744.73364
BGD,DP.DOD.DLIN.CR.PS.CD,2022,456813558.31024957
BGD,DP.DOD.DLIN.CR.PS.CD,2023,448806821.81759804
BGD,DP.DOD.DLLO.CR.L1.PS.CD,2021,734408668.3340284
BGD,DP.DOD.DLLO.CR.L1.PS.CD,2022,1053621085.0127857
BGD,DP.DOD.DLLO.CR.L1.PS.CD,2023,1171521386.2464893
BGD,DP.DOD.DLLO.CR.M1.PS.CD,2021,58633360911.09174
BGD,DP.DOD.DLLO.CR.M1.PS.CD,2022,63599224617.83595
BGD,DP.DOD.DLLO.CR.M1.PS.CD,2023,70613112952.80338
BGD,DP.DOD.DLLO.CR.PS.CD,2021,59418943316.206795
BGD,DP.DOD.DLLO.CR.PS.CD,2022,64865790921.737
BGD,DP.DOD.DLLO.CR.PS.CD,2023,72024847579.51665
BGD,DP.DOD.DLOA.CR.L1.PS.CD,2021,576800129.7829819
BGD,DP.DOD.DLOA.CR.L1.PS.CD,2022,487432592.79668003
BGD,DP.DOD.DLOA.CR.L1.PS.CD,2023,595795748.7613088
BGD,DP.DOD.DLOA.CR.M1.PS.CD,2021,8190083538.345976
BGD,DP.DOD.DLOA.CR.M1.PS.CD,2022,10123220020.283447
